"","X","id","Handle","Text","Author","Category","Retweets","Favorites","first_word","second_word","third_word"
"2399",17377,2399,"TheSongMsgs","“Fuck you, fuck you very, very much","Lily Allen","Song Lyric",4299,3041,"“fuck","fuck","much"
"2400",17386,2400,"TheSongMsgs","“How can I love when I'm afraid to fall?","Christina Perri","Song Lyric",4913,3665,"fall","afraid","can"
"2401",17394,2401,"TheSongMsgs","“No matter what I do, all I think about is you.","Nelly ft. Kelly Rowland","Song Lyric",615,546,"matter","think",NA
"2402",17396,2402,"TheSongMsgs","Merry Christmas","Unknown","Song Lyric",103,171,"merri","christma",NA
"2403",17408,2403,"TheSongMsgs","Just to see you smile, I would do anything.","Tim McGraw","Song Lyric",597,506,"anyth","see","smile"
"2404",17413,2404,"TheSongMsgs","If you never try you'll never know. . .","Coldplay","Song Lyric",3236,2245,"never","youll","tri"
"2405",17414,2405,"TheSongMsgs","“Dreaming dreams with happy endings.","Taylor Swift","Song Lyric",824,601,"“dream","end","happi"
"2406",17421,2406,"TheSongMsgs","I like the way you smile with your eyes.","One Direction","Song Lyric",2858,2235,"eye","smile","way"
"2407",17430,2407,"TheSongMsgs","Love hurts whether it's right or wrong.","Avril Lavigne","Song Lyric",3591,2744,"whether","hurt","right"
"2408",17431,2408,"TheSongMsgs","“Dreaming dreams with happy endings.","Taylor Swift","Song Lyric",891,627,"“dream","end","happi"
"2409",17435,2409,"TheSongMsgs","Kiss me like it's do or die","Jason Derulo","Song Lyric",459,511,"kiss","die","like"
"2410",17439,2410,"TheSongMsgs","You + me ? Forever?","Unknown","Song Lyric",530,509,"forev",NA,NA
"2411",17440,2411,"TheSongMsgs","I tell myself that I'll be strong.","Ellie Goulding","Song Lyric",3407,2134,"strong","tell","ill"
"2412",17443,2412,"TheSongMsgs","You can get addicted to a certain kinda sadness.","Gotye","Song Lyric",617,647,"addict","certain","sad"
"2413",17452,2413,"TheSongMsgs","The worst things in life come free to us.","Ed Sheeran","Song Lyric",854,728,"free","worst","come"
"2414",17458,2414,"TheSongMsgs","You play my heart like it's a game.","Demi Lovato","Song Lyric",2984,2127,"game","play","heart"
"2415",17460,2415,"TheSongMsgs","“How can I love when I'm afraid to fall?","Christina Perri","Song Lyric",3439,2680,"fall","afraid","can"
"2416",17461,2416,"TheSongMsgs","I am a champion and you're gonna hear me ROAR","Katy Perry","Song Lyric",446,429,"champion","roar","hear"
"2417",17467,2417,"TheSongMsgs","I was so stupid for letting you go.","One Direction","Song Lyric",2327,2123,"stupid","let",NA
"2418",17468,2418,"TheSongMsgs","If I get a little prettier, can I be your baby?","Lana Del Rey”","Song Lyric",2438,2031,"prettier","babi","littl"
"2419",17469,2419,"TheSongMsgs","My heart stops when you look at me.","Katy Perry","Song Lyric",2790,2179,"stop","look","heart"
"2420",17471,2420,"TheSongMsgs","The silence is slowly killing me","Maroon 5","Song Lyric",1205,1008,"slowli","silenc","kill"
"2421",17473,2421,"TheSongMsgs","Life’s too easy to be so damn complicated.","Zac Brown Band","Song Lyric",642,519,"complic","life’","damn"
"2422",17479,2422,"TheSongMsgs","No matter what I do, all I think about is you.","Nelly ft. Kelly Rowland","Song Lyric",794,670,"matter","think",NA
"2423",17482,2423,"TheSongMsgs","Never gonna know if you never even try.","The Script","Song Lyric",2342,1636,"never","gonna","even"
"2424",17487,2424,"TheSongMsgs","The silence is slowly killing me.","Maroon","Song Lyric",2250,1776,"slowli","silenc","kill"
"2425",17491,2425,"TheSongMsgs","He's gonna regret the day he left me","Ciara","Song Lyric",2372,2231,"left","regret","hes"
"2426",17495,2426,"TheSongMsgs","I swear music puts me in another zone.","Unknown","Song Lyric",2837,1871,"zone","swear","put"
"2427",17513,2427,"TheSongMsgs","You're everything I see in my dreams.","Bruno Mars","Song Lyric",810,616,"everyth","see","dream"
"2428",17516,2428,"TheSongMsgs","MY KIND OF MUSIC VOLUME: 

<U+2582> <U+2583> _ <U+2585> <U+2586> ¦ 100%","Unknown","Song Lyric",5136,3507,"volum","music","kind"
"2429",17518,2429,"TheSongMsgs","Nevermind, I'll find someone like you","Adele","Song Lyric",762,615,"nevermind","someon","ill"
"2430",17519,2430,"TheSongMsgs","Nevermind, I'll find someone like you","Adele","Song Lyric",843,692,"nevermind","someon","ill"
"2431",17522,2431,"TheSongMsgs","If I get a little prettier, can I be your baby?","Lana Del Rey","Song Lyric",2224,1734,"prettier","babi","littl"
"2432",17527,2432,"TheSongMsgs","My heart breaks a little when I hear your name","Bruno Mars","Song Lyric",3432,2718,"name","break","hear"
"2433",17528,2433,"TheSongMsgs","Forget the haters, because somebody loves you.","Miley","Song Lyric",2839,2068,"hater","somebodi","forget"
"2434",17536,2434,"TheSongMsgs","“But when it comes to you, I’m never good enough.","Demi Lovato","Song Lyric",960,691,"enough","good","come"
"2435",17538,2435,"TheSongMsgs","He's gonna regret the day he left me","Ciara","Song Lyric",854,788,"left","regret","hes"
"2436",17540,2436,"TheSongMsgs","Nevermind, I'll find someone like you","Adele","Song Lyric",748,641,"nevermind","someon","ill"
"2437",17541,2437,"TheSongMsgs","It must have been love but it's over now.","Roxette","Song Lyric",566,512,"now","must","love"
"2438",17542,2438,"TheSongMsgs","FAV if you love","Coldplay","Song Lyric",1585,5383,"fav","love",NA
"2439",17549,2439,"TheSongMsgs","Happiness hit her like a bullet in the back","Florence and The Machine","Song Lyric",367,346,"bullet","hit","back"
"2440",17551,2440,"TheSongMsgs","Lose your dream, you lose your mind","Rolling Stones","Song Lyric",345,312,"lose","mind","dream"
"2441",17555,2441,"TheSongMsgs","I like the way you smile with your eyes.","One Direction","Song Lyric",862,642,"eye","smile","way"
"2442",17556,2442,"TheSongMsgs","If I get a little prettier, can I be your baby?","Lana Del Rey","Song Lyric",603,500,"prettier","babi","littl"
"2443",17559,2443,"TheSongMsgs","You're an asshole but I love you","Pink","Song Lyric",727,623,"asshol","your","love"
"2444",17565,2444,"TheSongMsgs","He's more than a man and this is more than love.","Rihanna","Song Lyric",666,576,"hes","man","love"
"2445",17577,2445,"TheSongMsgs","Everyone is fine, but I wish I was","Lana Del Rey","Song Lyric",1745,1271,"fine","everyon","wish"
"2446",17590,2446,"TheSongMsgs","Smiling but we're close to tears.","The Script","Song Lyric",1854,1311,"close","tear","smile"
"2447",17601,2447,"TheSongMsgs","Over thinking does kill your happiness","Unknown","Song Lyric",1573,1029,"kill","think","happi"
"2448",17603,2448,"TheSongMsgs","All I know is I love you too much to walk away.","Eminem ft. Rihanna","Song Lyric",811,691,"walk","away","much"
"2449",17604,2449,"TheSongMsgs","All I know is I love you too much to walk away.","Eminem ft. Rihanna","Song Lyric",880,760,"walk","away","much"
"2450",17606,2450,"TheSongMsgs","Only know you love her when you let her go","Passenger","Song Lyric",1765,1363,"let","know","love"
"2451",17608,2451,"TheSongMsgs","My house in Budapest, my, my hidden treasure chest","George Ezra","Song Lyric",205,263,"budapest","chest","hidden"
"2452",17611,2452,"TheSongMsgs","That maybe we found love right where we are","Ed Sheeran","Song Lyric",1447,1109,"found","mayb","right"
"2453",17636,2453,"TheSongMsgs","“Some nights I'm scared you'll forget me again.","Fun","Song Lyric",1984,1753,"scare","youll","forget"
"2454",17647,2454,"TheSongMsgs","Sam Hunt!","Unknown","Song Lyric",42,103,"hunt","sam",NA
"2455",17651,2455,"TheSongMsgs","You change your mind,
Like a girl changes clothes","Katy Perry","Song Lyric",1905,1590,"chang","cloth","girl"
